Time[s], MOSI, MISO, SCLK, CSC
6.223562750000000, 0, 1, 0, 0
6.223563000000000, 0, 1, 1, 0
6.223563250000000, 0, 1, 0, 0
6.223563500000000, 0, 1, 1, 0
6.223563625000000, 0, 1, 0, 0
6.223563875000000, 0, 1, 1, 0
6.223564124999999, 0, 1, 0, 0
6.223564375000000, 0, 1, 1, 0
6.223564625000000, 0, 1, 0, 0
6.223564750000000, 0, 1, 1, 0
6.223565000000000, 0, 1, 0, 0
6.223566375000000, 0, 1, 0, 1
6.223790500000000, 0, 1, 0, 0
6.223791125000000, 0, 1, 1, 0
6.223791374999999, 0, 1, 0, 0
6.223791625000000, 0, 1, 1, 0
6.223791749999999, 0, 1, 0, 0
6.223792000000000, 1, 1, 1, 0
6.223792250000000, 1, 1, 0, 0
6.223792500000000, 1, 1, 1, 0
6.223792625000000, 1, 1, 0, 0
6.223792875000000, 0, 1, 1, 0
6.223793124999999, 0, 1, 0, 0
6.223793375000000, 1, 1, 1, 0
6.223793625000000, 1, 1, 0, 0
6.223793750000000, 0, 1, 1, 0
6.223794000000000, 0, 1, 0, 0
6.223794250000000, 0, 1, 1, 0
6.223794499999999, 0, 1, 0, 0
6.223795624999999, 1, 1, 1, 0
6.223795875000000, 1, 1, 0, 0
6.223796000000000, 0, 1, 1, 0
6.223796249999999, 0, 1, 0, 0
6.223796500000000, 0, 1, 1, 0
6.223796750000000, 0, 1, 0, 0
6.223796875000000, 0, 1, 1, 0
6.223797125000000, 0, 1, 0, 0
6.223797374999999, 0, 1, 1, 0
6.223797625000000, 0, 1, 0, 0
6.223797875000000, 0, 1, 1, 0
6.223797999999999, 0, 1, 0, 0
6.223798250000000, 0, 1, 1, 0
6.223798500000000, 0, 1, 0, 0
6.223798749999999, 0, 1, 1, 0
6.223798875000000, 0, 1, 0, 0
6.223800000000000, 1, 1, 1, 0
6.223800250000000, 1, 1, 0, 0
6.223800375000000, 0, 1, 1, 0
6.223800625000000, 0, 1, 0, 0
6.223800874999999, 0, 1, 1, 0
6.223801125000000, 0, 1, 0, 0
6.223801375000000, 0, 1, 1, 0
6.223801500000000, 0, 1, 0, 0
6.223801750000000, 0, 1, 1, 0
6.223802000000000, 0, 1, 0, 0
6.223802249999999, 0, 1, 1, 0
6.223802375000000, 0, 1, 0, 0
6.223802624999999, 0, 1, 1, 0
6.223802875000000, 0, 1, 0, 0
6.223803125000000, 0, 1, 1, 0
6.223803375000000, 0, 1, 0, 0
6.223804625000000, 0, 1, 0, 1
6.224029000000000, 0, 1, 0, 0
6.224029750000000, 0, 1, 1, 0
6.224029874999999, 0, 1, 0, 0
6.224030125000000, 0, 1, 1, 0
6.224030375000000, 0, 1, 0, 0
6.224030625000000, 1, 1, 1, 0
6.224030750000000, 1, 1, 0, 0
6.224031000000000, 1, 1, 1, 0
6.224031249999999, 1, 1, 0, 0
6.224031500000000, 0, 1, 1, 0
6.224031750000000, 0, 1, 0, 0
6.224031875000000, 0, 1, 1, 0
6.224032125000000, 0, 1, 0, 0
6.224032374999999, 1, 1, 1, 0
6.224032625000000, 1, 1, 0, 0
6.224032750000000, 0, 1, 1, 0
6.224032999999999, 0, 1, 0, 0
6.224034124999999, 0, 1, 1, 0
6.224034375000000, 0, 1, 0, 0
6.224034625000000, 0, 1, 1, 0
6.224034875000000, 0, 1, 0, 0
6.224035000000000, 0, 1, 1, 0
6.224035250000000, 0, 1, 0, 0
6.224035499999999, 0, 1, 1, 0
6.224035750000000, 0, 1, 0, 0
6.224036000000000, 1, 1, 1, 0
6.224036125000000, 1, 1, 0, 0
6.224036375000000, 0, 1, 1, 0
6.224036625000000, 0, 1, 0, 0
6.224036874999999, 1, 1, 1, 0
6.224037000000000, 1, 1, 0, 0
6.224037249999999, 0, 1, 1, 0
6.224037500000000, 0, 1, 0, 0
6.224038500000000, 0, 1, 1, 0
6.224038750000000, 0, 1, 0, 0
6.224038999999999, 0, 1, 1, 0
6.224039250000000, 0, 1, 0, 0
6.224039500000000, 0, 1, 1, 0
6.224039625000000, 0, 1, 0, 0
6.224039875000000, 0, 1, 1, 0
6.224040125000000, 0, 1, 0, 0
6.224040375000000, 0, 1, 1, 0
6.224040500000000, 0, 1, 0, 0
6.224040749999999, 0, 1, 1, 0
6.224041000000000, 0, 1, 0, 0
6.224041250000000, 0, 1, 1, 0
6.224041499999999, 0, 1, 0, 0
6.224041625000000, 0, 1, 1, 0
6.224041874999999, 0, 1, 0, 0
6.224043249999999, 0, 1, 0, 1
6.224268625000000, 0, 1, 0, 0
6.224269250000000, 0, 1, 1, 0
6.224269500000000, 0, 1, 0, 0
6.224269749999999, 0, 1, 1, 0
6.224270000000000, 0, 1, 0, 0
6.224270124999999, 1, 1, 1, 0
6.224270375000000, 1, 1, 0, 0
6.224270625000000, 1, 1, 1, 0
6.224270874999999, 1, 1, 0, 0
6.224271000000000, 0, 1, 1, 0
6.224271250000000, 0, 1, 0, 0
6.224271500000000, 0, 1, 1, 0
6.224271750000000, 0, 1, 0, 0
6.224272000000000, 1, 1, 1, 0
6.224272125000000, 1, 1, 0, 0
6.224272375000000, 0, 1, 1, 0
6.224272624999999, 0, 1, 0, 0
6.224273750000000, 0, 1, 1, 0
6.224273999999999, 0, 1, 0, 0
6.224274250000000, 0, 1, 1, 0
6.224274374999999, 0, 1, 0, 0
6.224274625000000, 0, 1, 1, 0
6.224274875000000, 0, 1, 0, 0
6.224275125000000, 1, 1, 1, 0
6.224275250000000, 1, 1, 0, 0
6.224275500000000, 0, 1, 1, 0
6.224275749999999, 0, 1, 0, 0
6.224276000000000, 0, 1, 1, 0
6.224276250000000, 0, 1, 0, 0
6.224276375000000, 0, 1, 1, 0
6.224276625000000, 0, 1, 0, 0
6.224276875000000, 1, 1, 1, 0
6.224277125000000, 1, 1, 0, 0
6.224278125000000, 0, 1, 1, 0
6.224278375000000, 0, 1, 0, 0
6.224278624999999, 0, 1, 1, 0
6.224278750000000, 0, 1, 0, 0
6.224279000000000, 1, 1, 1, 0
6.224279249999999, 1, 1, 0, 0
6.224279500000000, 0, 1, 1, 0
6.224279750000000, 0, 1, 0, 0
6.224279875000000, 0, 1, 1, 0
6.224280125000000, 0, 1, 0, 0
6.224280374999999, 0, 1, 1, 0
6.224280625000000, 0, 1, 0, 0
6.224280750000000, 1, 1, 1, 0
6.224281000000000, 1, 1, 0, 0
6.224281250000000, 0, 1, 1, 0
6.224281500000000, 0, 1, 0, 0
6.224282750000000, 0, 1, 0, 1
6.224504625000000, 0, 1, 0, 0
6.224505375000000, 0, 1, 1, 0
6.224505625000000, 0, 1, 0, 0
6.224505750000000, 0, 1, 1, 0
6.224506000000000, 0, 1, 0, 0
6.224506250000000, 1, 1, 1, 0
6.224506499999999, 1, 1, 0, 0
6.224506625000000, 1, 1, 1, 0
6.224506874999999, 1, 1, 0, 0
6.224507125000000, 0, 1, 1, 0
6.224507375000000, 0, 1, 0, 0
6.224507624999999, 0, 1, 1, 0
6.224507750000000, 0, 1, 0, 0
6.224508000000000, 1, 1, 1, 0
6.224508250000000, 1, 1, 0, 0
6.224508500000000, 0, 1, 1, 0
6.224508624999999, 0, 1, 0, 0
6.224509875000000, 0, 1, 1, 0
6.224510000000000, 0, 1, 0, 0
6.224510250000000, 0, 1, 1, 0
6.224510500000000, 0, 1, 0, 0
6.224510749999999, 1, 1, 1, 0
6.224510875000000, 1, 1, 0, 0
6.224511124999999, 1, 1, 1, 0
6.224511375000000, 1, 1, 0, 0
6.224511625000000, 0, 1, 1, 0
6.224511875000000, 0, 1, 0, 0
6.224512000000000, 0, 1, 1, 0
6.224512250000000, 0, 1, 0, 0
6.224512499999999, 1, 1, 1, 0
6.224512750000000, 1, 1, 0, 0
