Time [s],MOSI,MISO,SCK,CS
1.804236500,1,1,1,0
1.804236625,0,1,0,0
1.804236750,0,1,1,0
1.804236833,0,1,0,0
1.804236875,0,0,0,0
1.804237375,1,0,0,0
1.804237583,1,0,1,0
1.804237667,1,0,0,0
1.804237792,1,0,1,0
1.804237917,0,0,0,0
1.804238000,0,0,1,0
1.804238125,0,0,0,0
1.804238250,0,0,1,0
1.804238333,0,0,0,0
1.804238375,0,1,0,0
1.804238458,0,1,1,0
1.804238583,1,1,0,0
1.804238667,1,1,1,0
1.804238792,1,1,0,0
1.804238917,1,1,1,0
1.804239000,0,1,0,0
1.804239125,0,1,1,0
1.804239250,1,0,0,0
1.804240250,1,0,0,1
1.804241125,1,0,0,0
1.804241500,0,0,0,0
1.804241667,0,0,1,0
1.804241792,0,0,0,0
1.804241917,0,0,1,0
1.804242000,1,0,0,0
1.804242125,1,0,1,0
1.804242250,1,0,0,0
1.804242333,1,0,1,0
1.804242458,0,1,0,0
1.804242583,0,1,1,0
1.804242667,1,1,0,0
1.804242792,1,1,1,0
1.804242917,0,1,0,0
1.804243000,0,1,1,0
1.804243125,1,1,0,0
1.804243250,1,1,1,0
1.804243333,0,1,0,0
1.804243375,0,0,0,0
1.804244208,0,0,0,1
1.804245917,0,1,0,1
1.806482667,0,1,0,0
1.806482708,0,0,0,0
1.806484792,0,0,1,0
1.806484875,0,0,0,0
1.806485000,0,0,1,0
1.806485125,1,0,0,0
1.806485208,1,0,1,0
1.806485333,1,0,0,0
1.806485458,1,0,1,0
1.806485542,0,0,0,0
1.806485583,0,1,0,0
1.806485667,0,1,1,0
1.806485792,1,1,0,0
1.806485875,1,1,1,0
1.806486000,1,1,0,0
1.806486125,1,1,1,0
1.806486208,0,1,0,0
1.806486333,0,1,1,0
1.806486458,0,0,0,0
1.806487333,0,0,0,1
1.806488208,0,0,0,0
1.806488750,0,0,1,0
1.806488875,0,0,0,0
1.806488958,0,0,1,0
1.806489083,0,0,0,0
1.806489208,0,0,1,0
1.806489292,0,0,0,0
1.806489417,0,0,1,0
1.806489542,1,1,0,0
1.806489625,1,1,1,0
1.806489750,0,1,0,0
1.806489875,0,1,1,0
1.806489958,1,1,0,0
1.806490083,1,1,1,0
1.806490208,0,1,0,0
1.806490292,0,1,1,0
1.806490417,0,0,0,0
1.806490833,1,0,0,0
1.806491042,1,0,1,0
