Time [s],MOSI,MISO,SCK,NRF_CS,NRF_CE,RESET_n,Channel 6,Channel 7
1.605206333,0,0,1,0,1,1,1,1
1.605206458,0,0,0,0,1,1,1,1
1.605206542,0,0,1,0,1,1,1,1
1.605206667,1,0,0,0,1,1,1,1
1.605206792,1,0,1,0,1,1,1,1
1.605206875,1,0,0,0,1,1,1,1
1.605207625,1,0,1,0,1,1,1,1
1.605207708,1,0,0,0,1,1,1,1
1.605207833,1,0,1,0,1,1,1,1
1.605207958,1,0,0,0,1,1,1,1
1.605208042,1,0,1,0,1,1,1,1
1.605208167,1,0,0,0,1,1,1,1
1.605208292,1,0,1,0,1,1,1,1
1.605208375,0,0,0,0,1,1,1,1
1.605208500,0,0,1,0,1,1,1,1
1.605208625,0,0,0,0,1,1,1,1
1.605208708,0,0,1,0,1,1,1,1
1.605208833,1,0,0,0,1,1,1,1
1.605208958,1,0,1,0,1,1,1,1
1.605209042,0,0,0,0,1,1,1,1
1.605209167,0,0,1,0,1,1,1,1
1.605209292,1,0,0,0,1,1,1,1
1.605210000,1,0,1,0,1,1,1,1
1.605210125,1,0,0,0,1,1,1,1
1.605210208,1,0,1,0,1,1,1,1
1.605210333,0,0,0,0,1,1,1,1
1.605210458,0,0,1,0,1,1,1,1
1.605210542,1,0,0,0,1,1,1,1
1.605210667,1,0,1,0,1,1,1,1
1.605210792,0,0,0,0,1,1,1,1
1.605210875,0,0,1,0,1,1,1,1
1.605211000,1,0,0,0,1,1,1,1
1.605211125,1,0,1,0,1,1,1,1
1.605211208,0,0,0,0,1,1,1,1
1.605211333,0,0,1,0,1,1,1,1
1.605211458,1,0,0,0,1,1,1,1
1.605211542,1,0,1,0,1,1,1,1
1.605211667,1,0,0,0,1,1,1,1
1.605212208,0,0,0,0,1,1,1,1
1.605212375,0,0,1,0,1,1,1,1
1.605212500,0,0,0,0,1,1,1,1
1.605212625,0,0,1,0,1,1,1,1
1.605212708,0,0,0,0,1,1,1,1
1.605212833,0,0,1,0,1,1,1,1
1.605212958,0,0,0,0,1,1,1,1
1.605213042,0,0,1,0,1,1,1,1
1.605213167,1,0,0,0,1,1,1,1
1.605213292,1,0,1,0,1,1,1,1
1.605213375,0,0,0,0,1,1,1,1
1.605213500,0,0,1,0,1,1,1,1
1.605213625,1,0,0,0,1,1,1,1
1.605213708,1,0,1,0,1,1,1,1
1.605213833,1,0,0,0,1,1,1,1
1.605213958,1,0,1,0,1,1,1,1
1.605214042,0,0,0,0,1,1,1,1
1.605214792,0,0,1,0,1,1,1,1
1.605214875,1,0,0,0,1,1,1,1
