Time [s],MOSI,MISO,SCK,NRF_CS,NRF_CE,RESET_n,Channel 6,Channel 7
2.206699500,0,0,1,0,1,1,1,1
2.206699625,1,0,0,0,1,1,1,1
2.206699750,1,0,1,0,1,1,1,1
2.206699833,1,0,0,0,1,1,1,1
2.206699958,1,0,1,0,1,1,1,1
2.206700083,1,0,0,0,1,1,1,1
2.206700167,1,0,1,0,1,1,1,1
2.206700292,0,0,0,0,1,1,1,1
2.206700417,0,0,1,0,1,1,1,1
2.206700500,0,0,0,0,1,1,1,1
2.206700625,0,0,1,0,1,1,1,1
2.206700750,0,0,0,0,1,1,1,1
2.206700833,0,0,1,0,1,1,1,1
2.206700958,0,0,0,0,1,1,1,1
2.206701083,0,0,1,0,1,1,1,1
2.206701167,0,0,0,0,1,1,1,1
2.206702083,0,0,0,1,1,1,1,1
2.206703042,0,0,0,0,1,1,1,1
2.206703625,0,0,1,0,1,1,1,1
2.206703750,0,0,0,0,1,1,1,1
2.206703833,0,0,1,0,1,1,1,1
2.206703958,1,0,0,0,1,1,1,1
2.206704083,1,0,1,0,1,1,1,1
2.206704167,0,0,0,0,1,1,1,1
2.206704292,0,0,1,0,1,1,1,1
2.206704417,0,1,0,0,1,1,1,1
2.206704500,0,1,1,0,1,1,1,1
2.206704625,0,1,0,0,1,1,1,1
2.206704750,0,1,1,0,1,1,1,1
2.206704833,0,1,0,0,1,1,1,1
2.206704958,0,1,1,0,1,1,1,1
2.206705083,0,0,0,0,1,1,1,1
2.206705167,0,0,1,0,1,1,1,1
2.206705292,0,0,0,0,1,1,1,1
2.206705917,0,0,1,0,1,1,1,1
2.206706000,0,0,0,0,1,1,1,1
2.206706125,0,0,1,0,1,1,1,1
2.206706250,0,0,0,0,1,1,1,1
2.206706333,0,0,1,0,1,1,1,1
2.206706458,0,0,0,0,1,1,1,1
2.206706583,0,0,1,0,1,1,1,1
2.206706667,0,0,0,0,1,1,1,1
2.206706792,0,0,1,0,1,1,1,1
2.206706917,0,0,0,0,1,1,1,1
2.206707000,0,0,1,0,1,1,1,1
2.206707125,0,0,0,0,1,1,1,1
2.206707250,0,0,1,0,1,1,1,1
2.206707333,0,0,0,0,1,1,1,1
2.206707458,0,0,1,0,1,1,1,1
2.206707583,0,0,0,0,1,1,1,1
2.206708458,0,0,0,1,1,1,1,1
2.206709708,0,0,0,0,1,1,1,1
